,category,value,ques,ans
5108,british royal in the militari,$1000,to begin hi train a an armi offic princ william enter thi british militari academi in two thousand and six,sandhurst
5109,20th centuri invent,$200,"in one thousand, nine hundred and twenty-six the 1st household pop up one of these wa market by the mcgraw electr compani",toaster
5110,weather,$400,season of the year when arizona ha it monsoon,summer
5111,four letter cloth,$400,after it come back pink from the wash you might use someth similar to fire your laundress,slip
5112,i saw it on tv,$200,"i saw thi guy 's resign express dure hi speech on august eight one thousand, nine hundred and seventy-four",nixon
5113,abbrevi state,$400,the abbrevi of thi state is also an abbrevi for the largest citi in california,louisiana
5114,numer olog,$400,in fluid measur one pint equal thi mani cup,two
5115,pumpkin eater,$400,paula deen put a twist on tradit instead of pumpkin pie it 's pumpkin gooey butter cake for thi holiday,thanksgiv
5116,anim life,$1000,the dust type of thi arachnid live in home where it feed on dust produc by anim human skin,mite
5117,one word imper,$400,it 's what rootin' tootin' yosemit sam shout a he shoot at foot,danc
5118,european eat,$1000,a href http www j archiv com medium two thousand and five eleven twenty-four j thirty jpg target blank jimmi of the clue crew chow down in gdansk poland a a href http www j archiv com medium two thousand and five eleven twenty-four j 30a jpg target blank they a 're a sort of polish ravioli here in gdansk they tast just like matka use to make,pierogi
5119,matt icul,$1000,"a success brewer matthew vassar open hi namesak colleg for woman in one thousand, eight hundred and sixty-one in thi n y citi",poughkeepsi
5120,colleg univers,$1000,truman state univers is locat in thi state,missouri
5121,tv charact,$200,endora dr bombay larri tate,bewitch
5122,wherefor art thou,$200,in a nurseri rhyme a queen make some of these onli to have them stolen by a knave,tart
5123,intern magazin,$200,in decemb two thousand and eight time magazin shut down it edit for thi countri it wa the same a the u s edit except for the ad,canada
5124,it' al delici,$400,it 's the protein in egg white,albumen
5125,the good book,$1000,thi rebelli archangel of the bibl first light up the scene in isaiah fourteen,lucif
5126,got your goat,$400,sheepskin or goatskin can be use to make thi write materi,parchment
5127,emmi repeat winner ?,$400,thi network won big in two thousand and eight with project like recount ha ninety-nine primetim nomin for two thousand and nine,hbo
5128,world hodgepodg,$400,on dutch map thi countri is call oostenrijk,austria
5129,literari lingo,$1000,"thi term for book print befor one thousand, five hundred and one goe back to the latin cuna a cradl",incunabula
5130,depart s,$400,"winter olymp event use these first appear at the one thousand, nine hundred and ninety-eight nagano game",snowboard
5131,girl scout badg,$1000,do n't get tongu tie when earn the badg the lure of thi whether estonian or esperanto,languag
5132,state prison,$1000,it 's anoth pleasant valley state prison sunday no one 's fli out of pelican bay either,california
5133,hello dalai,$400,"the dalai lama in exil sinc one thousand, nine hundred and fifty-nine live in the himalayan town of dharmsala in thi countri",india
5134,mexican food,$1000,tout a a hangov cure thi hearti soup made with tripe is popular on new year 's morn,menudo
5135,world geographi,$200,with a popul of more than one hundred and ninety million uttar pradesh is thi countri 's largest state,india
5136,two letter respons,$200,georg clooney actual star in two tv seri with thi titl the earlier one wa a comedi,er
5137,gemston,$1000,a href http www j archiv com medium two thousand and seven five twenty-eight j twenty-five jpg target blank cheryl of the clue crew show off her stone a a href http www j archiv com medium two thousand and seven five twenty-eight j 25a jpg target blank it 's a one of the onli natur gemston to show play of color the flash of differ color within the same stone,opal
5138,start with d,$400,thi type of steak wa name for a restaurateur whose first name wa lorenzo,delmonico
5139,when the saint,$200,santa rosa de lima is honor with festiv each august thirty in thi countri where she 's patron saint,peru
5140,natur,$400,the whelk a carnivor marin gastropod ha a shell of thi shape,spiral
5141,your friendli militari recruit,$1000,sorri ladi some armi job under thi six letter categori like cannon crewmemb are off limit,combat
5142,the agricultur hall of fame,$400,william hoard wa instrument in found the usa 's first dairi school at the univers of thi state where el ?,wisconsin
5143,world histori,$400,stephen i the son of a magyar princ becam king of thi countri in one thousand a d,hungari
5144,toy game,$200,make no apolog for thi classic board game the game of sweet reveng,sorri
5145,what ail you ?,$400,outbreak of thi form of food poison are often the result of improp home canning,botul
5146,african geographi,$400,in addit to it bounti wildlif thi desert is the site of the orapa diamond mine one of the world 's largest,kalahari
5147,know him biblic,$200,john eleven detail the big comeback of thi man dead for four day,lazaru
5148,sweet,$200,thi slang term for coffe preced chip in a starbuck ice cream flavor,java
5149,20th centuri peopl,$200,"on easter monday april twenty-four one thousand, nine hundred and sixteen padraic pear hi men seiz thi citi 's gener post offic",dublin
5150,biblic book titl,$1000,the bear is one of the stori in faulkner 's collect call go down him,mose
5151,bug,$200,each speci of thi bioluminesc bug ha it own characterist flash pattern,firefli
5152,histor voicemail from,$1000,hey the elder it 's your nephew the younger here what did you think of my letter to emperor trajan ?,plini
5153,miss vowel,$1000,one of the element dn,iodin
5154,a haunt we will go,$200,mani have claim to see the ghost of civil war soldier still wander the battlefield in thi penn town,gettysburg
5155,arsen,$400,million in asia are at risk from high arsen level in thi the epa 's new limit is ten part per billion,water
5156,music state,$400,"although it wa a hit no singl were releas in the u s from thi one thousand, nine hundred and eighty-two bruce springsteen album",nebraska
5157,who you gonna call ?,$400,"send flower ? call one eight hundred send thi three letter compani found in one thousand, nine hundred and ten",ftd
5158,feel like the first time,$200,the first movi close up wa of fred ott sneez wa film in thi man 's west orang n j studio,edison
5159,sport,$200,field posit in thi british game includ wicketkeep squar leg gulli,cricket
5160,know your earth,$400,the book the earth call thi the most potent geomorpholog agent there is caus the most damag,man
5161,c in biolog,$400,thi photosynthet pigment absorb red blue violet light reflect green light,chlorophyl
5162,start with b,$400,oscar wild said everi great man ha hi discipl it is alway juda who write thi,biographi
5163,sport team nicknam,$400,nicknam of the columbu major leagu soccer team we do n't know how motley they are,crew
5164,c ountri,$1000,"found around one thousand, eight hundred and eighty-eight dure german coloni rule yaound is the bustl capit of thi central african nation",cameroon
5165,one button text messag,$400,friendli greet spell out on your cell 's four button,hi
5166,adject,$1000,an adject mean elabor to brit it 's a verb mean to like or enjoy,fanci
5167,the main alcohol ingredi,$400,in a boilermak along with beer rye work fine,whiskey
5168,cat,$200,the korat breed from thailand is usual thi color of some olymp metal,silver
5169,doo d,$400,"seen here thi popular comic strip began in one thousand, nine hundred and seventy",doonesburi
5170,divid by a common languag,$200,arrow can be these thing that you throw at a game board in a pub or the game itself,dart
5171,non memor movi quot,$1000,"one thousand, nine hundred and eighty-four f murray abraham hmmm ?",amadeu
5172,you just made the a list,$1000,you are so smart your brillanc match that of thi ancient philosoph who wa a student of plato,aristotl
5173,top u s franchis,$1000,begun in japan thi chain of math read center rank a the top tutor servic franchis,kumon
5174,actor their role,$200,thi nicholson wa a joker,jack
5175,in the dictionari,$1000,a an adverb it mean thu or so a a verb it mean to urg a dog to attack,sic
5176,the el word,$200,to thrust someon asid with an arm,elbow
5177,twenty-seven is heaven,$1000,attila il corsaro are two of thi italian compos 's twenty-seven opera,verdi
5178,sport object,$1000,an object that weigh one five ounc contain fourteen to sixteen feather that extend two three four inch from a cork,badminton
5179,you'r nut s,$200,"it evolv from li'l folk a one thousand, nine hundred and forty featur in the st paul pioneer press",peanut
5180,"one thousand, nine hundred and ninety-two woman olympian",$200,yael arad thi countri 's first medalist ever dedic her silver to the slain athlet of the '72 game,israel
5181,g whiz,$400,a synonym for cautious it 's the way astair might have held roger if she wa in a bad mood,gingerli
5182,mytholog,$400,these attend of dionysu part man part anim were famou for chase nymph,satyr
5183,place,$200,"a build for religi vener or the l a auditorium that host one thousand, nine hundred and ninety-seven 's academi award",shrine
5184,what' on tv ?,$400,joshua jackson play the son of a mad scientist on thi x file esqu fox show,fring
5185,the stone,$200,interest in diamond in thi color soar when ben gave jen a big one set in her engag ring,pink
5186,colleg sport,$200,"between one thousand, nine hundred and seventy-five one thousand, nine hundred and ninety-six thi midwestern school 's hawkey won sixteen ncaa wrestl titl",iowa
5187,u s citi,$1000,it 's the biggest citi in eastern washington,spokan
5188,sold,$1000,avian verb mean to sell good in public often by loudli announc them,hawk
5189,q a,$400,anoth name for a search perhap for a grail ?,quest
5190,televis,$200,"stephani nix michael 's plan to videotap the birth of their babi on thi series' jan eight one thousand, nine hundred and ninety episod",newhart
5191,c in histori,$1000,legend of rich led a set of zuni villag to be dub the seven citi of thi,cibola
5192,color film,$200,a classic from the '80 pretti in,pink
5193,miss bodi part,$1000,the beatl wore them boot,ankl
5194,academ degre,$1000,you can earn a j d degre onlin prepar you to practic in thi field,law
5195,rock with you,$1000,"quit your yellin' name thi one thousand, nine hundred and ninety-five hit duet for michael janet jackson their first togeth",scream
5196,unbreak,$1000,herm gave thi mythic hero an unbreak sword he use to cut medusa into gorgon zola,perseu
5197,european geographi,$200,at it narrowest point thi strait separ europ from africa by about eight mile,gibraltar
5198,two letter scrabbl word,$1000,even without play it on a special squar thi greek letter will get you nine point,xi
5199,european countri,$400,countri where dracula ii ascens cold mountain were mainli film,romania
5200,tv 's support cast,$1000,t j thyne a dr jack hodgin an expert on insect spore miner at the jeffersonian institut,bone
5201,the award goe to,$1000,the fermat prize in thi field is award for contribut to statement of variat principl,mathemat
5202,medicin,$200,queen victoria pas thi hereditari blood diseas to mani of her royal descend,hemophilia
5203,legal lingo,$200,the suprem court ha rule that search and thi of properti is unreason if done without a warrant,seizur
5204,milk,$200,milk flash heat to at least one hundred and sixty-one degre for fifteen second is label thi,pasteur
5205,magazin newspap,$400,newspap in tampa salt lake citi chicago share thi name,tribun
5206,travelin',$200,if you 're in rabat you must be in the capit citi of thi countri,morocco
5207,feel a bit ill,$400,a wateri feed for hog contain food byproduct,swill
5208,publish,$1000,oh contessa i must tell you that it 's base in toronto publish one hundred and ten titl a month,harlequin
5209,assembl line,$200,a href http www j archiv com medium two thousand and ten two sixteen j eleven wmv alex look over the assembl line at the ford motor compani in dearborn mi a i know it look like a scene from a sci fi film but these robot are do thi import but hazard job that help keep some of the metal part togeth,weld
5210,french compos,$200,"thi compos die on june three one thousand, eight hundred and seventy-five exactli three month after hi carmen premier",bizet
5211,act the part,$1000,dougla rain a the voic of thi charact just what do you think you 're do dave ?,hal
5212,valuabl place,$400,you can keep the valuabl rock you find in the state park near murfreesboro arkansa crater of these,diamond
5213,fang for the memori,$200,next to your incisor they 're call thi becaus of their resembl to a dog 's fang,canin
5214,special k,$400,addict to pilfer without real need,kleptomania
5215,the n crowd,$1000,"egypt 's presid from one thousand, nine hundred and fifty-six to one thousand, nine hundred and seventy he dream of lead the whole arab world",nasser
5216,kill by death,$200,around two hundred and seven b c the greek stoic philosoph chrysippu die thi way while watch a drunk donkey eat fig,laugh
5217,emili post er child,$1000,on formal correspond you may address a boy under seven year old by thi titl,master
5218,turn on your comput,$1000,"the forerunn to the internet known a the arpanet wa a one thousand, nine hundred and sixty network by thi u s govern dept",defens
5219,the mama the papa,$1000,st ambros credit thi mother of constantin with find the true cross of jesu,helena
5220,ranch dress,$400,a slang term for a cemeteri in a western town came from a gunfight 's wish to die with these on,boot
5221,49er,$400,coach red hickey pioneer thi format with the quarterback stand well behind the line to take the snap,shotgun
5222,europ,$1000,"in one thousand, eight hundred and fifty-nine moldavia walachia unit to form thi countri with princ alexandru ioan cuza a it ruler",romania
5223,what are you afraid of ?,$1000,papyrophobia is the fear of thi touch it see it be cut by it,paper
5224,tube,$200,submarin have fix tube in the bow to shoot these underwat weapon,torpedo
5225,crossword clue k,$400,a mediev foot soldier or compos jerom four,kern
5226,tea,$1000,tea bear thi former name of taiwan are primarili oolong,formosa
5227,literari pet,$1000,littl swan littl bear greenfinch are some of the goat of thi johanna spyri lass,heidi
5228,spell check hell,$1000,i want to call my girl dollpuss not thi suggest altern mean larg portion of sour cream,dollop
5229,greenland,$1000,the site of a u s air forc base it follow ultima in a phrase mean a distant place,thule
5230,true fals,$200,you have seven true pair of these five fals pair two of which are float,rib
5231,hint from helois,$400,when cut these flower use a spring clothespin on the stem to keep from get prick,rose
5232,citi song,$1000,marc cohn then i'm walk in thi citi walk with my foot ten foot off of beal,memphi
5233,describ the sport,$200,protect oval spheroid like it wa hope diamond drag it across line to score six then throw it away danc,footbal
5234,more vowel than conson,$200,all thing be thi mean a great a we know you 're thi to the task,equal
5235,follow the leader,$1000,"a former foreign minist fernando cardoso becam presid of thi larg south american countri in one thousand, nine hundred and ninety-five",brazil
5236,american counti,$1000,while mani state have counti name lincoln thi is the onli state that ha one name snohomish,washington
5237,"the one thousand, eight hundred and sixty",$200,"in one thousand, eight hundred and sixty-five thi citi succeed auckland a capit of new zealand",wellington
5238,who' the bos,$1000,name for founder carlo it 's the crime famili of which john gotti wa bos,gambino
5239,new age think,$400,thi term for receiv energi info from other level of realiti sound like redirect water along a passag,channel
5240,mexican food drink,$1000,a href http www j archiv com medium two thousand and four seven seven j fifteen jpg target blank sarah of the clue crew ha second at yucatan peninsula mexico a one of my favorit mexican dish is a href http www j archiv com medium two thousand and four seven seven j fifteen jpg target blank thi a one raw seafood marin in lime juic garnish with onion tomato,cevich
5241,my galaxi,$200,"dure hi circumnavig expedit around one thousand, five hundred and nineteen he observ the galact cloud later name after him",magellan
5242,go ing,$200,from a persian word for snake eater a markhor is a wild type of thi beard rumin,goat
5243,tv seri final,$400,miss elli turn southfork ranch over to bobbi,dalla
5244,vega babi,$400,a legendari weapon that emerg from a lake or a la vega hotel,excalibur
5245,titl contain titl,$200,han christian anderson the and the pea,princess
5246,geographi b,$400,thi missouri citi is the live music show capit of the world,branson
5247,countries' currenc,$400,a href http www j archiv com medium two thousand and eleven seven eighteen j ten jpg target blank kelli of the clue crew present the clue from sydney australia a australia wa the first countri to start make bill out of thi they improv secur and last much longer than paper bill if you do n't spend them,plastic
5248,high school footbal,$1000,in two thousand and seven the suprem court rule high school coach can be kept from contact 8th grader for thi purpos,recruit
5249,hood,$200,the english name of thi hood snake is from portugues for snake with a hood,cobra
5250,histor document,$1000,"in english not latin one thousand, two hundred and fifteen 's great",charter
5251,a littl b bop,$1000,"establish in alberta in one thousand, eight hundred and eighty-five it 's canada 's oldest nation park",banff
5252,a brief histori of thyme,$200,thyme honey from the iblei mtn on thi larg mediterranean isl ha been a delicaci for centuri,sicili
5253,sir arthur conan doyl,$200,"sir arthur conan doyl wa born on may twenty-two one thousand, eight hundred and fifty-nine in thi scottish citi",edinburgh
5254,it' australia mate,$200,the loud australian bird known a a kookaburra is also known a thi laugh equin,jackass
5255,h ealth medicin,$400,it 's the medic term for high blood pressur,hypertens
5256,sweet,$400,butter is an ingredi of thi hard candi that ha butter in it name the rest of it name doe n't refer to whiski,butterscotch
5257,seven letter edibl,$400,wonton kreplach are similar in design to thi italian specialti fill pillow of pasta,ravioli
5258,colorado dream,$200,"a href http www j archiv com medium two thousand and six twelve twenty-six j seventeen jpg target blank jon of the clue crew report from the denver mint a for it first forty-six year the unit state mint at denver wa an assay offic stem from the discoveri of thi at cherri creek in one thousand, eight hundred and fifty-eight",gold
5259,seafood,$200,there are bluefin yellowfin varieti of thi fish,tuna
5260,music number,$400,number of movement in grieg 's piano concerto in a minor,three
5261,mytholog art,$400,if you visit the louvr hunt for houdon 's statu of thi roman goddess seen a href http www j archiv com medium two thousand and seven seven nine j four jpg target blank here a,diana
5262,medal decor,$400,"thi countri establish an independ medal in one thousand, nine hundred and twenty-four throw out the old ottoman empir order",turkey
5263,the planet uranu,$200,"observ by astronom jame elliot in one thousand, nine hundred and seventy-seven discov five of these around uranu",ring
5264,song verb,$400,nelli p diddi murphi lee ya tailfeath,shake
5265,it begin with me,$400,these usual glow at fifty to seventy-five mile abov the earth 's surfac,meteor
5266,if he'd taken mom' last name,$1000,19th centuri scientist charl wedgwood,darwin
5267,summer school at yale,$400,introduct to thi explor it approach to the biolog cognit social and emot base of behavior,psycholog
5268,scienc e,$1000,in thermodynam a close system slowli evolv toward a state of maximum thi inact,entropi
5269,also a dog command,$1000,sorri i duck out on your parti i feel like thi a contempt person,heel
5270,drive along,$200,slow down thi state 's speed limit on the interst is seventy-five but onli sixty-five onc you 're in an urban area like missoula,montana
5271,union label,$400,one three million strong the afscm is the american feder of state counti these employe,municip
5272,side effect of jepolax,$400,in a few case jepolax may destroy alveolus lead to thi lung diseas that includ short wind,emphysema
5273,rupert murdoch owner of a lot of stuff,$1000,we wonder if rupe discontinu hi facebook account when he bought thi social network site for five hundred and eighty million in two thousand and five,myspac
5274,virtual medicin,$1000,a href http www j archiv com medium two thousand and seven eleven twelve j sixteen jpg target blank jimmi of the clue crew hold a long thin tube at the carl j shapiro simul skill center in boston ma a a href http www j archiv com medium two thousand and seven eleven twelve j 16a jpg target blank thi a fiber optic view scope ha revolution diagnosi and surgeri a a tini incis in the abdomen replac one sever inch long,laparoscop
5275,the two thousand and one world seri,$400,a href http www j archiv com medium two thousand and two seven two j thirteen jpg target blank sarah of the clue crew stand in the stand at bank one ballpark in phoenix a game five of the two thousand and one world seri wa the first major leagu game to be a href http www j archiv com medium two thousand and two seven two j 13a jpg target blank play a in thi month,novemb
5276,earth wind or fire,$400,a in aardvark or aardwolf aard mean thi in afrikaan,earth
5277,da plane da plane,$1000,"the first commerci passeng tran atlant servic wa by pan am in one thousand, nine hundred and thirty-nine between nyc thi french port",marseil
5278,g whiz,$1000,"the one thousand, nine hundred and eighty-three invas of thi countri inspir the plot of the film heartbreak ridg",grenada
5279,motion in poetri,$1000,marvel 's to hi coy mistress end though we cannot make our sun stand still yet we will make him do thi,run
5280,around the gym,$400,a gym rat may eat a powerbar to load up on energi seventy-five of it come from these,carbohydr
5281,biblic quot,$200,it is easier for thi anim to go through the eye of a needl than for a rich man to enter the kingdom of god,camel
5282,cat all folk,$1000,one of the veri few curli hair varieti of cat the cornish rex wa develop in thi countri,england
5283,the new testament,$1000,hebrew three say jesu wa count worthi of more glori than thi old testament man,mose
5284,insect,$400,shakira sing of mosca en la casa these in the hous,fli
5285,alphabet homophon,$400,mike hammer wa a privat one,eye
5286,transport,$200,it 's the auto compani that make the maximum the altima,nissan
5287,rock miner,$1000,you may be board to know that thi natur abras is second onli to diamond in hard,emeri
5288,end in s,$400,it 's a four letter word for back talk,sas
5289,dictat tot,$200,"he learn russian at a church school in georgia begin there in one thousand, eight hundred and eighty-eight around age nine",stalin
5290,also a magazin,$1000,for exampl be just and fear not,maxim
5291,the world of polit,$1000,michel bachelet is the first femal elect leader of thi south american countri,chile
5292,on the website' front page,$1000,at the websit for thi network you can check out the item on air or appli for a qcard,qvc
5293,vocabulari,$400,it can be a spokesman part of your phone or a protect rubber devic worn by a boxer,mouthpiec
5294,cook,$400,thi member of the nightshad famili is often prepar parmigiana,eggplant
5295,twinkl twinkl littl word that rhyme with star,$400,a one pound tin of premium sevruga thi can go for more than two zero,caviar
5296,ok,$1000,thai one on in thi asian capit on the bank of the chao phraya river,bangkok
5297,english class,$400,thi part of speech doe n't alway end in ly onc there often are other exampl,adverb
5298,doubl down,$1000,in the niebelungli thi hero defeat the dwarf alberich twice take hi cloak of invis,siegfri
5299,stori problem,$200,if fred can eat five fig in five minut he can eat thi mani in a half hour,thirty
5300,tee time,$200,a group of peopl appoint for a specif function like the senat judiciari one,committe
5301,biblic quot,$400,to thi discipl jesu said get thee behind me satan,peter
5302,"one thousand, nine hundred and seventy",$400,garri trudeau 's bull tale wa renam thi began appear in some two dozen newspap,doonesburi
5303,crazi top forty tune,$1000,"but we 're never gonna surviv unless you name thi artist who hit the top ten in one thousand, nine hundred and ninety-one with crazi",seal
5304,gulf,$400,the gulf of thailand is border on it west by thailand on it east by vietnam thi countri,cambodia
5305,fill the bil,$1000,a high amount of thi bile pigment can produc jaundic,bilirubin
5306,idea for tourism campaign,$1000,we 're one big island sever small one lemur entertain you disclaim lemur will not repeat not speak to you,madagascar
5307,20th centuri scienc tidbit,$400,meredith gourdin 's work on ga dispers led to a way of clear thi from airport runway,fog
5308,game,$1000,around japan you 'll find parlor fill with these game that are a cross between pinbal slot machin,pachinko
5309,the 16th centuri,$1000,"in the one thousand, five hundred and sixty-nine union of lublin zygmunt ii unit lithuania thi countri",poland
5310,p lace on the map,$200,on the liberti bell thi state 's name is miss one of it n s,pennsylvania
5311,u s a,$400,"in one thousand, eight hundred and forty-five the town of marthasvil georgia wa renam thi after the western atlant railroad",atlanta
5312,invent,$400,a swiss engin got the idea for thi from the burr that stuck to hi cloth,velcro
5313,catchphras,$400,in current slang someon attract or cool may be all that and a bag of these,chip
5314,food gloriou food,$1000,italian for cook it 's a pork beef salami that contain whole peppercorn,cotto
5315,the el word,$1000,adject mean big clumsi unwieldi,elephantin
5316,"sport one thousand, nine hundred and ninety-eight",$200,a first divis team in thi sport in romania trade player ion radu for two ton of meat,soccer
5317,hello newton,$400,"in the one thousand, six hundred and ninety newton wa the bane of counterfeit introduc newli mill edg while work here",mint
5318,past present or futur,$1000,it 's a homophon for a word mean thrown,past
5319,the solar system,$1000,"on march ten one thousand, nine hundred and seventy-seven astronom discov thi 7th planet from the sun also had ring",uranu
5320,cain abel,$200,the stori of cain abel is told in thi book of the old testament,genesi
5321,the bad air up there,$200,thi pollut onc use in gasolin paint can lower the iq of the person breath it vapor,lead
5322,see a bit of america,$200,we 're off to thank the academi at the a href http www j archiv com medium two thousand and eleven eleven eighteen j one jpg target blank kodak theatr a in thi part of l a,hollywood
5323,africa,$400,of the two hundred million acr of arabl land in thi largest african countri le than fifteen is cultiv,sudan
5324,top forty commenc address ?,$400,the past is gone it went by like dusk to dawn dream on dream on dream yourself a dream come true,aerosmith
5325,they use to be in charg,$1000,"succeed brezhnev a soviet gener secretari one thousand, nine hundred and eighty-two one thousand, nine hundred and eighty-four",andropov
5326,cut dri,$400,cut down a bunch of thompson seedless dri them you get these,raisin
5327,the jeopardi world orchestra,$400,use in pair these instrument are heard in mani kind of latin music,maraca
5328,thaw,$200,in two thousand and nine the presid spoke of a new begin with thi nearbi island nation,cuba
5329,z end,$1000,it 's a print cotton fabric often use for drape,chintz
5330,guin world record,$1000,from top to bottom ed shelton rip fifty-five of these each with one forty-four page in three minut,phonebook
5331,fake it,$200,to deceiv someon is to pull thi materi over the eye,wool
5332,we don't need no stinkin' badger,$400,thi three letter word mean to pester or badger it can also refer to a worthless hors,nag
5333,presidenti quotat,$200,"in one thousand, eight hundred and sixty-five he said whenev i hear someon argu for slaveri i feel a strong impuls to see it tri on him person",lincoln
5334,american citi,$1000,often place in the bear famili the first giant panda in the u s wa appropri exhibit in thi midwest citi,chicago
5335,a littl food drink,$1000,thi cereal onc had a longer name oat becam o,cheerio
5336,superhero,$400,for a while the hulk wa gray but now he 's thi color,green
5337,old testament peopl,$200,the name of thi first great patriarch of israel mean father of a multitud,abraham
5338,celebr,$400,chryssom is the last name of thi greek born new age pianist who goe by hi first name,yanni
5339,washington d c,$200,the district 's oldest neighborhood it wa name for a king,georgetown
5340,"the one thousand, nine hundred and ninety-eight pulitz prize",$400,the prizewin play how i learn to drive wa inspir by nabokov 's novel about thi girl,lolita
5341,ad age,$400,commerci for thi video chain featur that comput gener danc babi,blockbust
5342,seven letter word,$1000,thi adject can mean pertain to languag or pertain to the tongu,lingual
5343,on the job train,$1000,job 's thi ha becom a proverbi express for one who tell you your problem are your own fault,comfort
5344,earli america,$400,"in one thousand, seven hundred and fifty-seven philadelphia had it first street light whale oil lamp design by thi man",franklin
5345,the dread opera categori,$200,"in one thousand, nine hundred and thirty-five black soprano ann brown origin thi gershwin role",be
5346,thi mean war,$400,dure the revolutionari war volunt readi to fight with sixty seconds' notic were call these,minuteman
5347,time for a round of golf,$200,"first award in one thousand, nine hundred and fifty-eight an amateur golf trophi is name for thi u s presid",eisenhow
5348,pour me a stiff one,$400,stolichanya or stoli to it friend is a brand of thi,vodka
5349,congression district,$400,barney frank rep thi state 's 4th which includ newton taunton part of fall river,massachusett
5350,"the one thousand, eight hundred and eighty",$200,"in may one thousand, eight hundred and eighty-nine more than two zero live were lost when a dam burst flood thi pennsylvania citi",johnstown
5351,around the dungeon,$200,thi small devic put a littl pressur on your hitchhik digit,thumbscrew
5352,four letter fill in the proverb,$1000,there are none so a those who will not hear,deaf
5353,"rememb the one thousand, seven hundred ?",$200,"in one thousand, seven hundred and sixty-seven thi volcano erupt so violent that the king of napl had to flee hi palac",vesuviu
5354,in the bag,$200,"in one thousand, nine hundred and fifty-three tetley introduc bag fill with thi to britain",tea
5355,doubl h,$200,to catch a bass you 'll need some sort of bait on one of these dangl from the end of the line on your pole,fishhook
5356,food for thought,$1000,breed femal antarct fur seal reli almost total on these shrimplik crustacean for food,krill
5357,organ religion,$200,b'nai b'rith anti defam leagu,judaism
5358,sport nicknam,$400,the brown bomber of box,loui
5359,end in ic,$400,it mean to ape or imit,mimic
5360,from the latin,$200,pondu the latin word for weight gave u thi adject mean weighti or unwieldi,ponder
5361,annual event,$1000,on august seventeen thi countri honor the death of nativ son freedom fighter jose de san martin,argentina
5362,let' learn latvian,$1000,oddli thi english word for corn that 's from spanish arawak is spell like the latvian word for bread,maiz
5363,medic,$1000,amiodaron stabil a heartbeat undergo thi specif tachycardia,arrhythmia
5364,gener scienc,$200,project from the cecum where the small larg intestin meet is thi non function organ,appendix
5365,a side of bacon,$200,thi method of preserv bacon can be done by either the salt method or the smoke method,cure
5366,in the french pantri,$1000,i see un pamplemouss thi i 'll have half of it for petit dejeun breakfast,grapefruit
5367,scientif discoveri,$200,"a new industri in europ began in one thousand, seven hundred and forty-seven when andrea marggraf discov thi in beet",sugar
5368,bird verb,$400,if ruf up you might complain or grumbl a thi bird 's name suggest,grous
5369,juli,$400,"be born juli seven one thousand, nine hundred and forty made him the senior member of the beatl he 's older than juli born mick jagger too",ringo
5370,scienc,$400,at about sixty-three zero ft at normal bodi temperatur blood will do thi,boil
5371,medic talk,$200,thi term refer to the pain inflamm of ani of the fibrou structur that connect muscl to bone,tendin
5372,the internet,$200,zone name includ com gov net thi one found after www stanford www hofstra,edu
5373,pas the turkey,$200,thi capit is turkey 's second most popul citi with about three five million peopl,ankara
5374,knight knighthood,$200,an ideal knight of thi canterburi tale author wa valor but prudent and a meek a a maid of hi bear,chaucer
5375,crossword clue r,$400,cosmet that make you blush five,roug
5376,gem jewel,$400,malachit peridot are gem of thi color,green
5377,cathedr church,$200,six golden dome were ad to thi capit 's annunci cathedr dure the reign of ivan the terribl,moscow
5378,the contin,$400,where arbor hominid call dryopith live sixteen million year ago,africa
5379,franci ford coppola,$400,"if you do n't know the name of thi coppola direct one thousand, nine hundred and ninety-six robin william film then you do n't know thi titl",jack
5380,measur twice,$200,one gigawatt equal one zero of these,megawatt
5381,month,$400,the next year thi month will have five sunday is two thousand and four,februari
5382,word,$1000,the name of these small tower often seen on castl come from old french for small tower,turret
5383,also a three letter tree,$200,a type of eucalyptu or someth kid chew,gum
5384,the onion,$1000,last name of john d catherin t whose foundat goe on wild endow bing,macarthur
5385,basebal histori,$1000,tom connolli bill klem the old arbitr were the first men to enter the basebal hall of fame a these,umpir
5386,grow pain,$400,more than three hundred zero hip fractur annual can be attribut to thi porou bone diseas,osteoporosi
5387,tv charact,$1000,former frisco polic detect now a p i afraid of the dark height crowd milk,monk
5388,american graduat,$1000,tipper gore dinah shore got degre from thi prestigi univers in nashvil,vanderbilt
5389,grab bag,$1000,ancestri com is one of the better known websit for peopl interest in thi nine letter hobbi,genealog
5390,twenty-four,$400,"on octob thirty one thousand, nine hundred and fifty-four thi sport introduc the use of the twenty-four second clock",basketbal
5391,birdi,$200,corvu brachyrhyncho thi common bird annoy farmer by eat crop like wheat corn,crow
5392,colleg educ,$400,greek latin myth and text are categori in thi one word depart at bucknel,classic
5393,geograph american,$200,immort in the ballad of jed clampett it 's what texa tea is,oil
5394,fe fi fo or fum,$1000,part of a southwestern capit citi name it mean faith in spanish,fe
5395,berri,$400,a judg cross california texa blackberri creat these which bear hi name,loganberri
5396,herb spice,$200,thi word can refer to an ancient spice or a segment of a bulb a of garlic,clove
5397,it' all about u,$200,term for the cover materi use in make chair couch,upholsteri
5398,bake three,$200,three type of these are ga electr convect,oven
